,job_titel,company_name,Loction,salery,other_role
204,Embedded Systems & Hardware Designing Intern,Brillianz Educare,University,"₹20,000 - ₹40,000",Part time  No test required  Freshers only
205,Delivery Boy Biker,Ansh Credit Care Private Limited,Amankud,"₹30,000 - ₹45,000",Full time  No test required  Freshers only
206,Telecaller,Wellsure Solution,Vaishali Nagar,"₹13,000 - ₹45,000",Part time  No test required  Freshers only
207,Sales & Marketing Manager,SBI LIFE Insurance company,Mangal Pandey Nagar,"₹20,000 - ₹70,000",Part time  No test required  Freshers only
208,Business Development Executive (BDE),Square Yards,"Andheri East, MIDC","₹25,000 - ₹50,000",Full time  No test required  Freshers only
209,Banker,Reliance Nippon Life Insurance Company Limited,Dhakuria,"₹15,000 - ₹50,000",Part time  No test required  Freshers only
210,Business Development Executive,Bajaj Allianz General Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
211,Business Developer,Bajaj Allianz Life Insurance Company Limited,Varanasi (Work from home),"₹19,000 - ₹45,000",Full time  No test required  Freshers only
212,Food Delivery Biker,Stargalaxy Manpower,Britania Factory,"₹30,000 - ₹43,000",Part time  No test required  Freshers only
213,Secretary,Veteran Immigration Consultants,Sector 22B chandigarh,"₹15,000 - ₹40,000",Full time  No test required  Freshers only
214,Delivery Executive,Ansh Credit Care Private Limited,Crossings Republik,"₹30,000 - ₹45,000",Part time  No test required  Freshers only
215,Service Coordinator,Tata AIA,Lalbazar,"₹22,000 - ₹55,000",Part time  No test required  Freshers only
216,Back Office Staff,Reliance Nippon Life Insurance Company Limited,Lake Gardens,"₹13,000 - ₹50,000",Part time  No test required  Freshers only
217,Telecaller,JS Company,Varanasi (Work from home),"₹20,000 - ₹40,000",Part time  No test required  Freshers only
218,Business Development Executive,Bajaj Allianz General Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
219,Technical Support Engineer,N Soft India Services,Banshankari,"₹25,000 - ₹40,000",Full time  No test required  Freshers only
220,Delivery Boy Biker,JKS Sure Services,LOCALITY,"₹35,000 - ₹43,000",Part time  No test required  Freshers only
221,Food Delivery Boy,Ansh Credit Care Private Limited,Mahalgaon,"₹35,000 - ₹45,000",Full time  No test required  Freshers only
222,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Jaipur (Work from home),"₹19,000 - ₹45,000",Full time  No test required  Freshers only
223,Delivery Boy Biker,JKS Sure Services,Sansad Bhavan,"₹35,000 - ₹43,000",Part time  No test required  Freshers only
224,Delivery Boy Biker,JKS Sure Services,Guwahati (Work from home),"₹35,000 - ₹45,000",Part time  No test required  Freshers only
225,Visa Counsellor,Vibrant Overseas,Sayajigunj,"₹15,000 - ₹45,000",Night shift Full time  No test required  Freshers only
226,Insurance Consultant,Bajaj Allianz Life Insurance Company Limited,Kolkata (Work from home),"₹19,000 - ₹50,000",Full time  No test required  Freshers only
227,Back Office Manager,Bajaj Allianz Life Insurance Company Limited,Bidhannagar,"₹18,000 - ₹53,000",Part time  No test required  Freshers only
228,HR Recruiter,NIILM University,Park Street,"₹25,000 - ₹62,754",Part time  No test required  Freshers only
229,Marketing Executive,Skillstride Consulting Private Limited,"Ashok Nagar, Bangalore","₹10,000 - ₹37,000",Full time  No test required  Freshers only
230,Food Delivery Biker,Zomato,Durgapura,"₹27,000 - ₹45,000",Full time  No test required  Freshers only
231,Back Office Executive,Sushco Unicorn,Swargate,"₹12,000 - ₹41,000",Part time  No test required  Freshers only
232,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Gwalior (Work from home),"₹19,000 - ₹46,000",Full time  No test required  Freshers only
233,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Bhopal (Work from home),"₹19,000 - ₹46,000",Full time  No test required  Freshers only
234,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Nashik (Work from home),"₹19,000 - ₹46,000",Full time  No test required  Freshers only
235,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Delhi-NCR (Work from home),"₹19,000 - ₹46,000",Full time  No test required  Freshers only
236,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹46,000",Full time  No test required  Freshers only
237,Business Development Associate,Byjus,Nungambakkam,"₹30,000 - ₹46,000",Full time  No test required  Freshers only
238,Business Development Associate,Byjus,Banjara Hills,"₹30,000 - ₹46,000",Full time  No test required  Freshers only
239,Office Helper,Aarav Enterprises,Bandra East,"₹27,000 - ₹39,000",Full time  No test required  Freshers only
240,Office Helper,Aarav Enterprises,Dadar West,"₹27,000 - ₹39,000",Full time  No test required  Freshers only
241,Business Development Associate,Byjus,Infopark Expressway,"₹30,000 - ₹46,000",Full time  No test required  Freshers only
242,Business Development Associate,Byjus,Nungambakkam,"₹30,000 - ₹46,000",Full time  No test required  Freshers only
243,Software / Web Developer Intern,One Aidc Hightech,Gwalior (Work from home),"₹26,000 - ₹38,000",Part time  No test required  Freshers only
244,Business Development Executive,Aditya Birla Capital Limited,Gomti Nagar,"₹21,000 - ₹50,500",Full time  No test required  Freshers only
245,Accountant,Mohan Enterprises,CBD Belapur East sector 15,"₹18,200 - ₹37,400",Part time  No test required  Freshers only
246,Food Delivery Biker,Zomato,Palancavery,"₹25,000 - ₹40,000",Part time  No test required  Freshers only
247,Food Delivery Biker,Zomato,Dwaraka Nagar,"₹25,000 - ₹40,000",Part time  No test required  Freshers only
248,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Bikaner (Work from home),"₹19,000 - ₹45,000",Full time  No test required  Freshers only
249,Food Delivery Biker,Delhive,Arong,"₹25,000 - ₹40,000",Part time  No test required  Freshers only
250,Clinical Representative,Hasya Dental Solutions,Kolhapur (Work from home),"₹7,000 - ₹42,000",Full time  No test required  Freshers only
251,Business Development Manager (BDM),The Innovators Group,Vazhayur,"₹20,000 - ₹45,000",Full time  No test required  Freshers only
252,Agency Development Manager,Aditya Birla Capital Limited,Vibhuti Khand,"₹25,000 - ₹40,000",Full time  No test required  Freshers only
253,Business Development Associate,Byjus,Atal Bihari Colony,"₹30,000 - ₹60,000",Full time  No test required  Freshers only
254,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
255,Delivery Boy Biker,Flipkart,Rajpur Road,"₹20,000 - ₹35,000",Full time  No test required  Freshers only
256,Delivery Boy,Okaygo,NH-91,"₹20,000 - ₹36,500",Full time  No test required  Freshers only
257,Sales Executive,Hdfc Life Insurance Company Limited,Rama Talkies Junction,"₹15,000 - ₹50,000",Part time  No test required  Freshers only
258,Sales & Marketing Executive,Vats Builders & Earth Mover,Noida City Center,"₹15,000 - ₹35,000",Full time  No test required  Freshers only
259,Sales & Marketing Executive,Vats Builders & Earth Mover,Noida City Center,"₹15,000 - ₹35,000",Full time  No test required  Freshers only
260,Back Office Executive,Raj Chauhan,Sanklipura,"₹25,000 - ₹35,000",Full time  No test required  Freshers only
261,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Chandigarh (Work from home),"₹19,000 - ₹45,000",Full time  No test required  Freshers only
262,Telecaller,Sukhibhava Properties,Habsiguda,"₹10,000 - ₹35,000",Full time  No test required  Freshers only
263,Insurance Team Leader,Aditya Birla Capital Limited,Ultadanga,"₹5,000 - ₹60,000",Full time  No test required  Freshers only
264,Delivery Boy,Swiggy,Sansad Bhavan,"₹25,000 - ₹38,000",Night shift  Part time  No test required  Freshers only
265,HR Recruiter,Bajaj Allianz Life Insurance Company Limited,Taratala,"₹20,000 - ₹35,000",Full time  No test required  Freshers only
266,Delivery Boy Biker,JKS Sure Services,Khodiyar Mata nu Mandir,"₹30,000 - ₹40,000",Part time  No test required  Freshers only
267,Delivery Boy,Zepto,Aalathur IE,"₹30,000 - ₹40,000",Part time  No test required  Freshers only
268,Marketing Assistant,Pqube Automation Solutions,Bhopal (Work from home),"₹20,000 - ₹35,000",Part time  No test required  Freshers only
269,Sales & Marketing Executive,Inoventive Lights,Kolkata (Work from home),"₹20,000 - ₹45,000",Full time  No test required  Freshers only
270,Customer Care Supervisor,Reliance Nippon Life Insurance Company Limited,Kasba East,"₹15,000 - ₹53,000",Full time  No test required  Freshers only
271,Delivery Boy Biker,Zepto,Sansad Bhavan,"₹25,000 - ₹40,000",Part time  No test required  Freshers only
272,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
273,Sales & Marketing Executive,Inoventive Lights,Kolkata (Work from home),"₹20,000 - ₹45,000",Full time  No test required  Freshers only
274,Delivery Boy Biker,JKS Sure Services,Khodiyar Mata nu Mandir,"₹30,000 - ₹40,000",Part time  No test required  Freshers only
275,Delivery Boy,Zepto,Aalathur IE,"₹30,000 - ₹40,000",Part time  No test required  Freshers only
276,Banker,Reliance Nippon Life Insurance Company Limited,Gariahat,"₹13,000 - ₹45,000",Part time  No test required  Freshers only
277,Retail Partner,Bajaj Allianz Life Insurance Company Limited,New town,"₹19,000 - ₹40,000",Full time  No test required  Freshers only
278,Sales Staff,Paytm,Aalathur IE,"₹20,000 - ₹40,000",Full time  No test required  Freshers only
279,HR Admin Executive,Kotak Life Insurance,Chandni Chowk,"₹10,000 - ₹60,000",Part time  No test required  Freshers only
280,Back Office Executive,Raj Chauhan,Arookutty,"₹25,000 - ₹35,000",Full time  No test required  Freshers only
281,Digital Marketing Executive,United Enterprises,Puttenahalli,"₹15,000 - ₹40,000",Full time  No test required  Freshers only
282,Business Development Executive,Just Dial,Kochi,"₹24,000 - ₹45,000",Full time  No test required  Freshers only
283,Business Development Executive,Bajaj Allianz Life Insurance Company Limited,Kota (Work from home),"₹19,000 - ₹87,000",Full time  No test required  Freshers only
284,Bike Rider,Rapido,Chaiteshwar Mahadev,"₹25,000 - ₹40,000",Part time  No test required  Freshers only
285,AutoCAD Draughtsman,Ase Structure Design Private Limited,Mundagakanniamman Koil,"₹25,000 - ₹35,000",Full time  No test required  Freshers only
286,Customer Care Executive,Inoventive Lights,Mumbai (Work from home),"₹20,000 - ₹40,000",Full time  No test required  Freshers only
287,Banker,Reliance Nippon Life Insurance Company Limited,Golf Green,"₹13,000 - ₹45,000",Part time  No test required  Freshers only
288,Retail Partner,Bajaj Allianz Life Insurance Company Limited,New town,"₹19,000 - ₹40,000",Full time  No test required  Freshers only
289,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹75,000",Full time  No test required  Freshers only
290,Telesales Executive,A K Knitwears,Ludhiana (Work from home),"₹30,000 - ₹35,000",Part time  No test required  Freshers only
291,Food Delivery Biker,Zomato,Christurajupuram,"₹25,000 - ₹40,000",Part time  No test required  Freshers only
292,Back Office Staff,Reliance Nippon Life Insurance Company Limited,Gariahat,"₹13,000 - ₹45,000",Part time  No test required  Freshers only
293,Insurance Team Leader,Bajaj Allianz Life Insurance Company Limited,Pune (Work from home),"₹19,000 - ₹80,000",Full time  No test required  Freshers only
294,Sales Team Leader,Bajaj Allianz Life Insurance Company Limited,Dhanbad (Work from home),"₹19,000 - ₹70,000",Full time  No test required  Freshers only
295,Receptionist,Swift Spark Solutions,Gurappana Palya,"₹15,000 - ₹35,000",Full time  No test required  Freshers only
296,Sales & Marketing Executive,Spacedge Express Solutions,Delhi-NCR (Work from home),"₹20,000 - ₹45,000",Full time  No test required  Freshers only
297,Office Assistant,Pnb Metlife India Insurance Company Limited,Gariahat Road,"₹12,000 - ₹55,000",Part time  No test required  Freshers only
298,HR Executive,Canopus Business Consulting Private Limited,Delhi-NCR (Work from home),"₹15,000 - ₹37,500",Full time  No test required  Freshers only
299,Business Development Executive (BDE),Bajaj Allianz Life Insurance Company Limited,Varanasi (Work from home),"₹19,000 - ₹46,000",Full time  No test required  Freshers only
300,Telesales Executive,Spacedge Express Solutions,Delhi-NCR (Work from home),"₹20,000 - ₹45,000",Full time  No test required  Freshers only
301,Customer Support Executive,Teleperformance,Agrawal Farm,"₹27,000 - ₹34,000",Night shift Full time  No test required  Freshers only
302,Digital Marketing Intern,One Aidc Hightech,Gwalior (Work from home),"₹26,000 - ₹36,000",Part time  No test required  Freshers only
303,Business Development Associate,Byjus,Sohna Chowk Gurgaon,"₹28,000 - ₹48,000",Full time  No test required  Freshers only
304,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Ahmedabad (Work from home),"₹19,000 - ₹43,000",Full time  No test required  Freshers only
305,Food Delivery Boy,S.S. Manpower Consultancy Services,Hauz Khas,"₹28,000 - ₹36,000",Part time  No test required  Freshers only
306,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Varanasi (Work from home),"₹19,000 - ₹42,000",Full time  No test required  Freshers only
307,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Chandigarh (Work from home),"₹19,000 - ₹42,000",Full time  No test required  Freshers only
308,Telecaller,VVS Enterprises,"Hadapsar, Pune","₹18,000 - ₹38,500",Part time  No test required  Freshers only
